,Validation_Set,Topics,Alpha,Beta,Coherence
91,75% Corpus,8,0.01,0.31,0.5675565762420747
92,75% Corpus,8,0.01,0.61,0.493526907535751
93,75% Corpus,8,0.01,0.9099999999999999,0.4146921650244121
94,75% Corpus,8,0.01,symmetric,0.5576646964184114
95,75% Corpus,8,0.31,0.01,0.5265287649232568
96,75% Corpus,8,0.31,0.31,0.524770141265959
97,75% Corpus,8,0.31,0.61,0.49059845738344904
98,75% Corpus,8,0.31,0.9099999999999999,0.5226499222618329
99,75% Corpus,8,0.31,symmetric,0.5302133370604547
100,75% Corpus,8,0.61,0.01,0.5920211209016488
101,75% Corpus,8,0.61,0.31,0.5619491967180035
102,75% Corpus,8,0.61,0.61,0.5357310578310016
103,75% Corpus,8,0.61,0.9099999999999999,0.4714383718876057
104,75% Corpus,8,0.61,symmetric,0.5940202305154292
105,75% Corpus,8,0.9099999999999999,0.01,0.4896317965016514
106,75% Corpus,8,0.9099999999999999,0.31,0.5311630565276064
107,75% Corpus,8,0.9099999999999999,0.61,0.49743791549326455
108,75% Corpus,8,0.9099999999999999,0.9099999999999999,0.5163008825991754
109,75% Corpus,8,0.9099999999999999,symmetric,0.48111828217611663
110,75% Corpus,8,symmetric,0.01,0.5257790638494377
111,75% Corpus,8,symmetric,0.31,0.5072379505809763
112,75% Corpus,8,symmetric,0.61,0.4789537499878912
113,75% Corpus,8,symmetric,0.9099999999999999,0.4918524721711723
114,75% Corpus,8,symmetric,symmetric,0.5275901160381498
115,75% Corpus,8,asymmetric,0.01,0.5555931699672696
116,75% Corpus,8,asymmetric,0.31,0.5452238434959683
117,75% Corpus,8,asymmetric,0.61,0.5089306850787043
118,75% Corpus,8,asymmetric,0.9099999999999999,0.5275037584470127
119,75% Corpus,8,asymmetric,symmetric,0.5504706307413298
120,100% Corpus,5,0.01,0.01,0.599479638682716
121,100% Corpus,5,0.01,0.31,0.5810013712524054
122,100% Corpus,5,0.01,0.61,0.5505971185941557
123,100% Corpus,5,0.01,0.9099999999999999,0.5639959744313707
124,100% Corpus,5,0.01,symmetric,0.5965342838899678
125,100% Corpus,5,0.31,0.01,0.6002460944809187
126,100% Corpus,5,0.31,0.31,0.6014281778806578
127,100% Corpus,5,0.31,0.61,0.5943108301237398
128,100% Corpus,5,0.31,0.9099999999999999,0.586667706568952
129,100% Corpus,5,0.31,symmetric,0.5973391956636865
130,100% Corpus,5,0.61,0.01,0.593077941400394
131,100% Corpus,5,0.61,0.31,0.5821596202306385
132,100% Corpus,5,0.61,0.61,0.5412482281178262
133,100% Corpus,5,0.61,0.9099999999999999,0.528775621678475
134,100% Corpus,5,0.61,symmetric,0.6043215878415676
135,100% Corpus,5,0.9099999999999999,0.01,0.5751440212983682
136,100% Corpus,5,0.9099999999999999,0.31,0.569369506415035
137,100% Corpus,5,0.9099999999999999,0.61,0.5497333664354283
138,100% Corpus,5,0.9099999999999999,0.9099999999999999,0.5254568415615207
139,100% Corpus,5,0.9099999999999999,symmetric,0.5615942645340818
140,100% Corpus,5,symmetric,0.01,0.596692605186186
141,100% Corpus,5,symmetric,0.31,0.5915810090961642
142,100% Corpus,5,symmetric,0.61,0.58955159360144
143,100% Corpus,5,symmetric,0.9099999999999999,0.5952973202317989
144,100% Corpus,5,symmetric,symmetric,0.5985937905815505
145,100% Corpus,5,asymmetric,0.01,0.6105977135871179
146,100% Corpus,5,asymmetric,0.31,0.5919809811062888
147,100% Corpus,5,asymmetric,0.61,0.5777537538671742
148,100% Corpus,5,asymmetric,0.9099999999999999,0.5867831320491054
149,100% Corpus,5,asymmetric,symmetric,0.5919809811062888
150,100% Corpus,6,0.01,0.01,0.5444062299691436
151,100% Corpus,6,0.01,0.31,0.5620661569178557
152,100% Corpus,6,0.01,0.61,0.5688301788015805
153,100% Corpus,6,0.01,0.9099999999999999,0.5233765694595153
154,100% Corpus,6,0.01,symmetric,0.5362484106254576
155,100% Corpus,6,0.31,0.01,0.5923356658841835
156,100% Corpus,6,0.31,0.31,0.552142675375241
157,100% Corpus,6,0.31,0.61,0.5513805827946819
158,100% Corpus,6,0.31,0.9099999999999999,0.5558866971912383
159,100% Corpus,6,0.31,symmetric,0.5797131771376733
160,100% Corpus,6,0.61,0.01,0.4980029559475396
161,100% Corpus,6,0.61,0.31,0.4920703024890012
162,100% Corpus,6,0.61,0.61,0.5177090478874015
163,100% Corpus,6,0.61,0.9099999999999999,0.5328865835866365
164,100% Corpus,6,0.61,symmetric,0.482673625810178
165,100% Corpus,6,0.9099999999999999,0.01,0.474025308595345
166,100% Corpus,6,0.9099999999999999,0.31,0.4375472174365092
167,100% Corpus,6,0.9099999999999999,0.61,0.5236972030236423
168,100% Corpus,6,0.9099999999999999,0.9099999999999999,0.5212279023432759
169,100% Corpus,6,0.9099999999999999,symmetric,0.4722955995550522
170,100% Corpus,6,symmetric,0.01,0.5882316680942957
171,100% Corpus,6,symmetric,0.31,0.562222484837434
172,100% Corpus,6,symmetric,0.61,0.577060529175568
173,100% Corpus,6,symmetric,0.9099999999999999,0.5785520422191134
174,100% Corpus,6,symmetric,symmetric,0.5751013009987119
175,100% Corpus,6,asymmetric,0.01,0.5928405384025145
176,100% Corpus,6,asymmetric,0.31,0.5691810016294473
177,100% Corpus,6,asymmetric,0.61,0.5616200566477725
178,100% Corpus,6,asymmetric,0.9099999999999999,0.5571415659028381
179,100% Corpus,6,asymmetric,symmetric,0.586688707600357
180,100% Corpus,7,0.01,0.01,0.5697810740382313
181,100% Corpus,7,0.01,0.31,0.5726483004501601
182,100% Corpus,7,0.01,0.61,0.572263990067103
183,100% Corpus,7,0.01,0.9099999999999999,0.578343214061084
184,100% Corpus,7,0.01,symmetric,0.5687985828929323
185,100% Corpus,7,0.31,0.01,0.5856132285385597
186,100% Corpus,7,0.31,0.31,0.5859520141360023
187,100% Corpus,7,0.31,0.61,0.6040944369219698
188,100% Corpus,7,0.31,0.9099999999999999,0.5811273640295961
189,100% Corpus,7,0.31,symmetric,0.58010712833722
190,100% Corpus,7,0.61,0.01,0.5706221524626233
191,100% Corpus,7,0.61,0.31,0.5419072928578972
192,100% Corpus,7,0.61,0.61,0.543737299992857
193,100% Corpus,7,0.61,0.9099999999999999,0.568260523661955
194,100% Corpus,7,0.61,symmetric,0.5425994044189449
195,100% Corpus,7,0.9099999999999999,0.01,0.4921799841608299
196,100% Corpus,7,0.9099999999999999,0.31,0.48142734239104
197,100% Corpus,7,0.9099999999999999,0.61,0.49523797295175953
198,100% Corpus,7,0.9099999999999999,0.9099999999999999,0.48924105217120134
199,100% Corpus,7,0.9099999999999999,symmetric,0.48486649823722655
200,100% Corpus,7,symmetric,0.01,0.5717731934238941
201,100% Corpus,7,symmetric,0.31,0.576367822208277
202,100% Corpus,7,symmetric,0.61,0.5742247506310132
203,100% Corpus,7,symmetric,0.9099999999999999,0.5817021266903392
204,100% Corpus,7,symmetric,symmetric,0.5807090941421816
205,100% Corpus,7,asymmetric,0.01,0.5830648864449782
206,100% Corpus,7,asymmetric,0.31,0.5680278257436423
207,100% Corpus,7,asymmetric,0.61,0.570488898048578
208,100% Corpus,7,asymmetric,0.9099999999999999,0.5620806573257424
209,100% Corpus,7,asymmetric,symmetric,0.5786558206090845
210,100% Corpus,8,0.01,0.01,0.5377802603724677
211,100% Corpus,8,0.01,0.31,0.5178973807157796
212,100% Corpus,8,0.01,0.61,0.5504819130615193
213,100% Corpus,8,0.01,0.9099999999999999,0.5491393202440336
214,100% Corpus,8,0.01,symmetric,0.5141916759341718
215,100% Corpus,8,0.31,0.01,0.5429934749897588
216,100% Corpus,8,0.31,0.31,0.5670857511102034
217,100% Corpus,8,0.31,0.61,0.5480461018643114
218,100% Corpus,8,0.31,0.9099999999999999,0.5651979832951943
219,100% Corpus,8,0.31,symmetric,0.5750561961285998
220,100% Corpus,8,0.61,0.01,0.5591463097605853
221,100% Corpus,8,0.61,0.31,0.5725431150014788
222,100% Corpus,8,0.61,0.61,0.5298366853452066
223,100% Corpus,8,0.61,0.9099999999999999,0.5303775470774729
224,100% Corpus,8,0.61,symmetric,0.5818076555915932
225,100% Corpus,8,0.9099999999999999,0.01,0.47548349090909686
226,100% Corpus,8,0.9099999999999999,0.31,0.4789074283454525
227,100% Corpus,8,0.9099999999999999,0.61,0.5120277063030193
228,100% Corpus,8,0.9099999999999999,0.9099999999999999,0.5166632710130703
229,100% Corpus,8,0.9099999999999999,symmetric,0.4933324994065773
230,100% Corpus,8,symmetric,0.01,0.5450563290370564
231,100% Corpus,8,symmetric,0.31,0.507651449003371
232,100% Corpus,8,symmetric,0.61,0.5265203009170778
233,100% Corpus,8,symmetric,0.9099999999999999,0.5523203203487894
234,100% Corpus,8,symmetric,symmetric,0.5334233721418106
235,100% Corpus,8,asymmetric,0.01,0.5429629442407784
236,100% Corpus,8,asymmetric,0.31,0.5582665095042452
237,100% Corpus,8,asymmetric,0.61,0.5562246092717047
238,100% Corpus,8,asymmetric,0.9099999999999999,0.575670182720011
239,100% Corpus,8,asymmetric,symmetric,0.5429629442407784
